name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
초코,스웨디시,서울특별시 송파구 잠실동,송파구,서울특별시 송파구,37.5114473,127.084734,False,11240.0,잠실새내역,잠실새내역 4번출구,잠실새내역 4번출구 도보5분,f_clean_naviya.csv
이재,1인샵 | 스웨디시,서울특별시 송파구 송파대로 111,송파구,서울특별시 송파구,37.477699,127.126274,True,11240.0,장지역,장지역 4번출구,장지역 4번출구 도보5분,f_clean_naviya.csv
데자뷰 테라피,테라피,서울특별시 강남구 대치동 889-72 선릉로,강남구,서울특별시 강남구,37.5035418,127.0510738,True,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보2분,f_clean_naviya.csv
메이드,로미로미 | 스웨디시,서울특별시 강남구 삼성동 122-30 삼성로103길 22,강남구,서울특별시 강남구,37.5100798,127.0527544,True,11230.0,삼성중앙역,삼성중앙역 6번출구,삼성중앙역 6번출구 도보5분,f_clean_naviya.csv
에비앙,테라피,서울특별시 강남구 신사동 585-1 논현로 831,강남구,서울특별시 강남구,37.5225787,127.0276935,True,11230.0,압구정역,압구정역 4번출구,압구정역 4번출구 도보4분,f_clean_naviya.csv
혜원,1인샵,서울특별시 송파구 송파대로 111,송파구,서울특별시 송파구,37.477699,127.126274,True,11240.0,장지역,장지역 8번출구,장지역 8번출구 도보7분,f_clean_naviya.csv
르수아,스웨디시,서울특별시 강남구 도곡동 548-5 도곡로18길 13,강남구,서울특별시 강남구,37.49043470000001,127.0383401,True,11230.0,,,,f_clean_naviya.csv
엘라 힐링테라피,1인샵 | 스웨디시 | 테라피,서울특별시 강남구 삼성동 선릉로,강남구,서울특별시 강남구,37.5050434,127.0489287,False,11230.0,선릉역,선릉역 8번출구,선릉역 8번출구 도보5분,f_clean_naviya.csv
메이드테라피,테라피,서울특별시 송파구 문정동 643-1 법원로 114,송파구,서울특별시 송파구,37.4816698,127.1206971,True,11240.0,문정역,문정역 4번출구,"문정역 3,4번출구 도보5분",f_clean_naviya.csv
자스민,1인샵 | 테라피,서울특별시 강남구 대치동 890-59 선릉로86길 31,강남구,서울특별시 강남구,37.5041507,127.0520978,True,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보3분,f_clean_naviya.csv
올데이스웨디시,스웨디시,서울특별시 송파구 송파대로 111,송파구,서울특별시 송파구,37.485945,127.122122,True,11240.0,문정역,문정역 3번출구,문정역 3번출구 도보9분,f_clean_naviya.csv
루다,1인샵 | 로미로미,서울특별시 송파구 잠실동 백제고분로,송파구,서울특별시 송파구,37.511433,127.084357,False,11240.0,잠실새내역,잠실새내역 4번출구,잠실새내역 4번출구 도보4분,f_clean_naviya.csv
