name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
메이약손마사지(강남점),마사지,서울특별시 강남구 봉은사로4길 32,강남구,서울특별시 강남구,37.5027789,127.0266567,TRUE,11230,,,역삼동 813-3
민트스웨디시,마사지,서울특별시 강남구 강남대로154길 11,강남구,서울특별시 강남구,37.5177559,127.0201911,TRUE,11230,신사역,신사역 7번 출구,신사역 7번 출구 도보 1분
하트스웨디시,마사지 1인샵,서울특별시 강동구 구천면로24길 11,강동구,서울특별시 강동구,37.5401754,127.1261682,TRUE,11250,천호역,천호역 5번 출구,천호역 5번 출구 도보 4분
밀크스웨디시,마사지,서울특별시 광진구 자양동 (상세주소 문의),광진구,서울특별시 광진구,37.54074702,127.0687223,FALSE,11050,건대입구역,건대입구역 1번 출구,건대입구역 1번 출구 인근
레몬스웨디시,마사지 1인샵,서울특별시 구로구 도림천로 448,구로구,서울특별시 구로구,37.4856829,126.8990538,TRUE,11170,구로디지털단지역,구로디지털단지역 3번 출구,구로디지털단지역 3번 출구 도보 2분
20대사이즈스웨디시,마사지 1인샵,서울특별시 중랑구 면목로92나길 10-2,중랑구,서울특별시 중랑구,37.595017,127.0873025,TRUE,11070,상봉역,,상봉역 인근
20대사이즈스웨디시,마사지 1인샵,서울특별시 마포구 마포대로 52,마포구,서울특별시 마포구,37.5403424,126.9477305,TRUE,11140,마포역,,마포역 도보 1분 거리
티오피스웨디시,마사지,서울특별시 성동구 성수동 (상세주소 문의),성동구,서울특별시 성동구,37.5463387,127.0535209,FALSE,11040,뚝섬역,,뚝섬역 도보 3분
엠마오테라피,마사지,서울특별시 영등포구 국회대로72길 11,영등포구,서울특별시 영등포구,37.5299189,126.9208558,TRUE,11190,국회의사당역,국회의사당역 1번 출구,국회의사당역 1번 출구 도보 5분
라일락,마사지 1인샵,서울특별시 서초구 서초동 (상세주소 문의),서초구,서울특별시 서초구,37.4953331,127.0286295,FALSE,11220,강남역,강남역 5번 출구,강남역 5번 출구 도보 3분
브라운가넷,마사지 1인샵,서울특별시 강남구 역삼동 (상세주소 문의),강남구,서울특별시 강남구,37.508861,127.063149,FALSE,11230,선릉역,,선릉역 도보 3분
크리스탈힐링센터,마사지,서울특별시 강남구 개포로 230 개포동 1217-1 영독빌딩 2층,강남구,서울특별시 강남구,37.4786777,127.0479224,TRUE,11230,,,
아이스왁싱＆브로우,왁싱,서울특별시 강남구 강남대로62길 11 역삼동 837-23 5층,강남구,서울특별시 강남구,37.4910282,127.0316127,TRUE,11230,,,서울특별시 강남구 강남대로62길 11 역삼동 837-23 5층
더벤타이,마사지,서울특별시 강동구 천호대로 1124 강동역 3번 출구 도보 5분,강동구,서울특별시 강동구,37.5343069,127.1361808,TRUE,11250,강동역,강동역 3번 출구,서울 강동구 천호대로 1124 강동역 3번 출구 도보 5분
라온타이,마사지,서울특별시 강남구 역삼동 721-3,강남구,서울특별시 강남구,37.5007664,127.0427727,TRUE,11230,,,서울특별시 강남구 역삼동 721-3
해피365,마사지,서울특별시 강북구 도봉로 255,강북구,서울특별시 강북구,37.6311499,127.0239038,TRUE,11090,,,
타이팰리스,마사지,서울특별시 강남구 언주로93길 30,강남구,서울특별시 강남구,37.5036697,127.0394816,TRUE,11230,,,
스파노블,마사지,서울특별시 강남구 테헤란로43길 14,강남구,서울특별시 강남구,37.5042346,127.0439554,TRUE,11230,,,
잘풀리는샵,마사지,서울특별시 강남구 강남대로116길 38,강남구,서울특별시 강남구,37.50677719999999,127.0270476,TRUE,11230,,,
힐타이,마사지,서울특별시 강북구 도봉로82길 14,강북구,서울특별시 강북구,37.635572,127.0242278,TRUE,11090,,,
강남예본수기테라피,마사지,서울특별시 강남구 학동로 223,강남구,서울특별시 강남구,37.51510529999999,127.033487,TRUE,11230,,,
메이드테라피,마사지,서울특별시 강남구 삼성로103길 22,강남구,서울특별시 강남구,37.5100798,127.0527544,TRUE,11230,,,
오늘스웨디시,마사지,서울특별시 강남구 테헤란로20길 11,강남구,서울특별시 강남구,37.4989837,127.0345354,TRUE,11230,,,
황실건전마사지,마사지,서울특별시 강서구 강서로 385,강서구,서울특별시 강서구,37.5601106,126.8382926,TRUE,11160,,,
타이하우스,마사지,서울특별시 강북구 도봉로 380 수유역 1번출구 도보 5분,강북구,서울특별시 강북구,37.6406468,127.02892,TRUE,11090,수유역,수유역 1번 출구,서울특별시 강북구 도봉로 380 수유역 1번출구 도보 5분
쿤타이,마사지,서울특별시 강북구 한천로 1057,강북구,서울특별시 강북구,37.6410819,127.0249205,TRUE,11090,,,
더마사지,마사지,서울특별시 강서구 양천로 351,강서구,서울특별시 강서구,37.5683805,126.8418715,TRUE,11160,양천향교역,양천향교역 4번 출구,양천향교역 4번 출구 인근
수힐링명가,마사지,서울특별시 강서구 방화대로 294,강서구,서울특별시 강서구,37.5670135,126.8170661,TRUE,11160,,,
승승관리,마사지,서울특별시 광진구 아차산로 291,광진구,서울특별시 광진구,37.5387523,127.0754541,TRUE,11050,,,
타이하우스,마사지,서울특별시 광진구 광나루로 392,광진구,서울특별시 광진구,37.547284,127.0731139,TRUE,11050,,,
태국전통왓포,마사지,서울특별시 광진구 능동로 271,광진구,서울특별시 광진구,37.5542595,127.0775821,TRUE,11050,,,
힐링테라피,마사지,서울특별시 광진구 능동로38길 9,광진구,서울특별시 광진구,37.5577613,127.0804331,TRUE,11050,,,
명가테라피,마사지,서울특별시 관악구 남부순환로172길 10 2층 신림역 4번출구 인근,관악구,서울특별시 관악구,37.4833364,126.925196,TRUE,11210,신림역,신림역 4번 출구,서울특별시 관악구 남부순환로172길 10 2층 신림역 4번출구 인근
힐링바디풋케어,마사지,서울특별시 구로구 가마산로 225,구로구,서울특별시 구로구,37.4941056,126.8860307,TRUE,11170,,,
수아로마,마사지,서울특별시 구로구 오리로 1154-7,구로구,서울특별시 구로구,37.4875869,126.8388101,TRUE,11170,,,
바닐라스웨디시,마사지 1인샵,서울특별시 동대문구 신설동 (상세주소 문의),동대문구,서울특별시 동대문구,37.57432175,127.0262345,FALSE,11060,신설동역,신설동역 7번 출구,신설동역 7번 출구 인근
웰빙바디풋샵,마사지,서울특별시 동작구 동작대로25길 41,동작구,서울특별시 동작구,37.4853069,126.9802193,TRUE,11200,,,
더풋샵,마사지,서울특별시 마포구 토정로 320,마포구,서울특별시 마포구,37.5393653,126.9439386,TRUE,11140,,,
테라피포유,마사지,서울특별시 마포구 어울마당로 45-1,마포구,서울특별시 마포구,37.5493277,126.9205269,TRUE,11140,,,
쿤타이,마사지,서울특별시 성북구 동소문로 119-1,성북구,서울특별시 성북구,37.5938976,127.017981,TRUE,11080,,,
로즈살롱,왁싱,서울특별시 성북구 동소문로 248,성북구,서울특별시 성북구,37.6027723,127.023776,TRUE,11080,,,
W스파,마사지,서울특별시 서초구 서초중앙로 95 2층 교대역 14번출구 인근,서초구,서울특별시 서초구,37.49036299999999,127.0139508,TRUE,11220,교대역,교대역 14번 출구,서울특별시 서초구 서초중앙로 95 2층 교대역 14번출구 인근
몸사랑,마사지,서울특별시 송파구 동남로18길 29,송파구,서울특별시 송파구,37.4939757,127.1334062,TRUE,11240,,,
내몸사랑,마사지,서울특별시 송파구 오금로44길 9,송파구,서울특별시 송파구,37.4965981,127.1356547,TRUE,11240,개롱역,개롱역 3번 출구,개롱역 3번 출구 도보 3분
그린테라피,마사지,서울특별시 송파구 백제고분로 115,송파구,서울특별시 송파구,37.50687780000001,127.0799937,TRUE,11240,,,
마이타이,마사지,서울특별시 서초구 서초대로73길 54 2층 신논현역 7번출구 3분,서초구,서울특별시 서초구,37.50204430000001,127.0240125,TRUE,11220,신논현역,신논현역 7번 출구,서울특별시 서초구 서초대로73길 54 2층 신논현역 7번출구 3분
약손테라피,마사지,서울특별시 송파구 백제고분로41길 8,송파구,서울특별시 송파구,37.5070045,127.1085601,TRUE,11240,,,
라마타이,마사지,서울특별시 중랑구 사가정로 401,중랑구,서울특별시 중랑구,37.580732,127.0894072,TRUE,11070,,,
로얄타이,마사지,서울특별시 중랑구 망우로32길 13,중랑구,서울특별시 중랑구,37.5933064,127.0767152,TRUE,11070,,,
THE해피타이,마사지,서울특별시 중랑구 망우로32길 6,중랑구,서울특별시 중랑구,37.5935568,127.0762921,TRUE,11070,,,
더힐스웨디시,마사지,서울특별시 강서구 양천로 360,강서구,서울특별시 강서구,37.5676533,126.8422513,TRUE,11160,양천향교역,양천향교역 5번 출구,양천향교역 5번 출구 도보 3분
